"","authorID","groupID","match_name","matchID","similarity","confidence","flagged","AU","AF","author_order","address","RP_address","RI","OI","EM","refID","TA","SO","UT","PT","PU","PY","university","country","state","postal_code","city","department"
"11",11,8,NA,NA,NA,NA,0,"Chapman, L","Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.",NA,"E-8037-2010","0000-0002-2837-8334","l.chapman@bham.ac.uk",3,"Transport and climate change: a review","JOURNAL OF TRANSPORT GEOGRAPHY","WOS:000249413200004","J","ELSEVIER SCI LTD","2007","univ birmingham","england","w midlands","b15 2tt","birmingham ","sch geog earth & environm sci"
"12",12,8,NA,NA,NA,NA,0,"Chapman, L","Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.",NA,"F-4674-2014","0000-0002-2837-8334","l.chapman@bham.ac.uk",3,"Transport and climate change: a review","JOURNAL OF TRANSPORT GEOGRAPHY","WOS:000249413200004","J","ELSEVIER SCI LTD","2007","univ birmingham","england","w midlands","b15 2tt","birmingham ","sch geog earth & environm sci"
"13",13,8,NA,NA,NA,NA,0,"Chapman, L","Chapman, Lee",1,"Univ Birmingham, Sch Geog Earth & Environm Sci, Birmingham B15 2TT, W Midlands, England.",NA,"F-4674-2014","0000-0002-2837-8334","l.chapman@bham.ac.uk",3,"Transport and climate change: a review","JOURNAL OF TRANSPORT GEOGRAPHY","WOS:000249413200004","J","ELSEVIER SCI LTD","2007","univ birmingham","england","w midlands","b15 2tt","birmingham ","sch geog earth & environm sci"
"14",14,14,NA,NA,NA,NA,0,"Chisti, Y","Chisti, Yusuf",1,"Massey Univ, Sch Engn, Palmerston North, New Zealand.",NA,NA,"0000-0002-0826-7012","y.chisti@massey.ac.nz",4,"Constraints to commercialization of algal fuels","JOURNAL OF BIOTECHNOLOGY","WOS:000324040300002","J","ELSEVIER","2013","massey univ","new zealand","palmerston north",NA,"sch engn",NA
"15",15,6340,NA,NA,0.576923076923077,9,0,"Battin-Leclerc, F","Battin-Leclerc, F.",1,"Nancy Univ, Dept Chim Phys React, CNRS, ENSIC, F-54001 Nancy, France.",NA,NA,NA,"frederique.battin-leclerc@ensic.inpl-nancy.fr",5,"Detailed chemical kinetic models for the low-temperature combustion of
hydrocarbons with application to gasoline and diesel fuel surrogates","PROGRESS IN ENERGY AND COMBUSTION SCIENCE","WOS:000257673700002","J","PERGAMON-ELSEVIER SCIENCE LTD","2008","nancy univ","france",NA,"54001"," nancy","dept chim phys react"
"16",16,16,NA,NA,NA,NA,0,"Curran, HJ","Curran, Henry J.",11,"NUI Galway, Combust Chem Ctr, Sch Chem, Galway, Ireland.",NA,"O-2428-2017","0000-0002-5124-8562",NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","nui galway","ireland","galway",NA,"sch chem","combust chem ctr"
"17",17,17,NA,NA,NA,NA,0,"Fernandes, RX","Fernandes, Ravi X.",10,"Rhein Westfal TH Aachen, D-52056 Aachen, Germany.",NA,NA,NA,NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","rhein westfal th aachen","germany",NA,"52056"," aachen",NA
"18",18,18,NA,NA,NA,NA,0,"Kohse-Hoinghaus, K","Kohse-Hoeinghaus, Katharina",9,"Univ Bielefeld, Dept Chem, D-33615 Bielefeld, Germany.",NA,"A-3867-2012",NA,NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","univ bielefeld","germany",NA,"33615"," bielefeld","dept chem"
"19",19,19,NA,NA,NA,NA,0,"Mehl, M","Mehl, Marco",4,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.",NA,"A-8506-2009","0000-0002-2227-5035",NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","lawrence livermore natl lab","usa","ca","94550","livermore","phys & life sci directorate"
"20",20,19,NA,NA,NA,NA,0,"Mehl, M","Mehl, Marco",4,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.",NA,"A-8506-2009","0000-0002-2227-5035",NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","lawrence livermore natl lab","usa","ca","94550","livermore","phys & life sci directorate"
"21",21,19,NA,NA,NA,NA,0,"Mehl, M","Mehl, Marco",4,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.",NA,"A-7968-2019","0000-0002-2227-5035",NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","lawrence livermore natl lab","usa","ca","94550","livermore","phys & life sci directorate"
"22",22,19,NA,NA,NA,NA,0,"Mehl, M","Mehl, Marco",4,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.",NA,"A-7968-2019","0000-0002-2227-5035",NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","lawrence livermore natl lab","usa","ca","94550","livermore","phys & life sci directorate"
"23",23,23,NA,NA,NA,NA,0,"Metcalfe, WK","Metcalfe, Wayne K.",6,"NUI Galway, Combust Chem Ctr, Sch Chem, Galway, Ireland.",NA,NA,NA,NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","nui galway","ireland","galway",NA,"sch chem","combust chem ctr"
"24",24,24,NA,NA,NA,NA,0,"Osswald, P","Osswald, Patrick",5,"Univ Bielefeld, Dept Chem, D-33615 Bielefeld, Germany.",NA,"N-3377-2013","0000-0002-2257-2988",NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","univ bielefeld","germany",NA,"33615"," bielefeld","dept chem"
"25",25,25,NA,NA,NA,NA,0,"Pitz, WJ","Pitz, William J.",8,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.",NA,"F-9763-2011","0000-0003-4238-4500",NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","lawrence livermore natl lab","usa","ca","94550","livermore","phys & life sci directorate"
"26",26,26,NA,NA,NA,NA,0,"Sarathy, SM","Sarathy, S. Mani",1,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.",NA,"M-5639-2015","0000-0002-3975-6206","sarathy1@llnl.gov",6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","lawrence livermore natl lab","usa","ca","94550","livermore","phys & life sci directorate"
"27",27,27,NA,NA,NA,NA,0,"Vranckx, S","Vranckx, Stijn",2,"Rhein Westfal TH Aachen, D-52056 Aachen, Germany.",NA,"HZH-4984-2023","0000-0002-7203-3691",NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","rhein westfal th aachen","germany",NA,"52056"," aachen",NA
"28",28,28,NA,NA,NA,NA,0,"Westbrook, CK","Westbrook, Charles K.",7,"Lawrence Livermore Natl Lab, Phys & Life Sci Directorate, Livermore, CA 94550 USA.",NA,NA,NA,NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","lawrence livermore natl lab","usa","ca","94550","livermore","phys & life sci directorate"
"29",29,914,NA,914,NA,NA,0,"Yasunaga, K","Yasunaga, Kenji",3,"Natl Def Acad, Dept Appl Chem, Yokosuka, Kanagawa 2398686, Japan.",NA,NA,NA,NA,6,"A comprehensive chemical kinetic combustion model for the four butanol
isomers","COMBUSTION AND FLAME","WOS:000303424600002","J","ELSEVIER SCIENCE INC","2012","natl def acad","japan",NA," 23986","kanagawa","dept appl chem"
"30",30,30,NA,NA,NA,NA,0,"Bais, A","Bais, A.",9,"Aristotle Univ Thessaloniki, Lab Atmospher Phys, GR-54006 Thessaloniki, Greece.",NA,"D-2230-2009","0000-0003-3899-2001",NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","aristotle univ thessaloniki","greece",NA,"54006"," thessaloniki","lab atmospher phys"
"31",31,31,NA,NA,NA,NA,0,"Berntsen, T","Berntsen, T.",10,"Univ Oslo, Dept Geosci, N-0315 Oslo, Norway.",NA,NA,"0000-0001-5971-5930",NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","univ oslo","norway",NA,"0315"," oslo","dept geosci"
"32",32,32,NA,NA,NA,NA,0,"Gierens, K","Gierens, K.",4,"Deutsch Zentrum Luft & Raumfahrt DLR, Inst Phys Atmosphare, D-82234 Oberpfaffenhofen, Wessling, Germany.",NA,NA,NA,NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","deutsch zentrum luft & raumfahrt dlr","germany","wessling","82234"," oberpfaffenhofen","inst phys atmosphare"
"33",33,33,NA,NA,NA,NA,0,"Grewe, V","Grewe, V.",3,"Deutsch Zentrum Luft & Raumfahrt DLR, Inst Phys Atmosphare, D-82234 Oberpfaffenhofen, Wessling, Germany.",NA,"A-6147-2011","0000-0002-8012-6783",NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","deutsch zentrum luft & raumfahrt dlr","germany","wessling","82234"," oberpfaffenhofen","inst phys atmosphare"
"34",34,34,NA,NA,NA,NA,0,"Iachetti, D","Iachetti, D.",11,"Univ Aquila, Dipartimento Fis, I-67100 Laquila, Italy.",NA,NA,NA,NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","univ aquila","italy",NA,"67100"," laquila","dipartimento fis"
"35",35,35,NA,NA,NA,NA,0,"Lee, DS","Lee, D. S.",1,"Manchester Metropolitan Univ, Dept Environm & Geog Sci, Dalton Res Inst, Manchester M1 5GD, Lancs, England.",NA,"ABC-4683-2021","0000-0002-5984-8861",NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","manchester metropolitan univ","england","lancs","m1 5gd","manchester ","dept environm & geog sci"
"36",36,36,NA,NA,NA,NA,0,"Lim, LL","Lim, L. L.",12,"Manchester Metropolitan Univ, Dept Environm & Geog Sci, Dalton Res Inst, Manchester M1 5GD, Lancs, England.",NA,NA,"0000-0002-6435-9683",NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","manchester metropolitan univ","england","lancs","m1 5gd","manchester ","dept environm & geog sci"
"37",37,3492,NA,3492,NA,NA,0,"Penner, JE","Penner, J. E.",5,"Univ Michigan, Dept Atmospher Ocean & Space Sci, Ann Arbor, MI 48109 USA.",NA,"J-1719-2012",NA,NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","univ michigan","usa","mi","48109","ann arbor","dept atmospher ocean & space sci"
"38",38,38,NA,NA,NA,NA,0,"Petzold, A","Petzold, A.",6,"Deutsch Zentrum Luft & Raumfahrt DLR, Inst Phys Atmosphare, D-82234 Oberpfaffenhofen, Wessling, Germany.",NA,"J-2347-2012","0000-0002-2504-1680",NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","deutsch zentrum luft & raumfahrt dlr","germany","wessling","82234"," oberpfaffenhofen","inst phys atmosphare"
"39",39,39,NA,NA,NA,NA,0,"Pitari, G","Pitari, G.",2,"Univ Aquila, Dipartimento Fis, I-67100 Laquila, Italy.",NA,"O-7458-2016","0000-0001-7051-9578",NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","univ aquila","italy",NA,"67100"," laquila","dipartimento fis"
"40",40,40,NA,NA,NA,NA,0,"Prather, MJ","Prather, M. J.",7,"Univ Calif Irvine, Dept Earth Syst Sci, Irvine, CA 92697 USA.",NA,NA,NA,NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","univ calif irvine","usa","ca","92697","irvine","dept earth syst sci"
"41",41,64,"Sausen, R",64,0.5,0,0,"Sausen, R","Sausen, R.",13,"Deutsch Zentrum Luft & Raumfahrt DLR, Inst Phys Atmosphare, D-82234 Oberpfaffenhofen, Wessling, Germany.",NA,NA,NA,NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","deutsch zentrum luft & raumfahrt dlr","germany","wessling","82234"," oberpfaffenhofen","inst phys atmosphare"
"42",42,3921,"Schumann, Ulrich",3921,0.45,4,0,"Schumann, U","Schumann, U.",8,"Deutsch Zentrum Luft & Raumfahrt DLR, Inst Phys Atmosphare, D-82234 Oberpfaffenhofen, Wessling, Germany.",NA,NA,"0000-0001-5255-6869",NA,7,"Transport impacts on atmosphere and climate: Aviation","ATMOSPHERIC ENVIRONMENT","WOS:000284389300004","J","PERGAMON-ELSEVIER SCIENCE LTD","2010","deutsch zentrum luft & raumfahrt dlr","germany","wessling","82234"," oberpfaffenhofen","inst phys atmosphare"
"43",43,260,NA,260,NA,NA,0,"Chen, SL","Chen, Shulin",3,"Washington State Univ, Dept Biol Syst Engn, Richland, WA 99354 USA.",NA,NA,NA,NA,8,"Catalytic co-pyrolysis of lignocellulosic biomass with polymers: a
critical review","GREEN CHEMISTRY","WOS:000381328300002","J","ROYAL SOC CHEMISTRY","2016","washington state univ","usa","wa","99354","richland","dept biol syst engn"
"44",44,44,NA,NA,NA,NA,0,"Lei, HW","Lei, Hanwu",2,"Washington State Univ, Dept Biol Syst Engn, Richland, WA 99354 USA.",NA,"S-1122-2019",NA,NA,8,"Catalytic co-pyrolysis of lignocellulosic biomass with polymers: a
critical review","GREEN CHEMISTRY","WOS:000381328300002","J","ROYAL SOC CHEMISTRY","2016","washington state univ","usa","wa","99354","richland","dept biol syst engn"
"45",45,263,NA,263,NA,NA,0,"Wu, J","Wu, Joan",4,"Washington State Univ, Dept Biol Syst Engn, Richland, WA 99354 USA.",NA,NA,NA,NA,8,"Catalytic co-pyrolysis of lignocellulosic biomass with polymers: a
critical review","GREEN CHEMISTRY","WOS:000381328300002","J","ROYAL SOC CHEMISTRY","2016","washington state univ","usa","wa","99354","richland","dept biol syst engn"
"46",46,264,NA,264,NA,NA,0,"Zhang, XS","Zhang, Xuesong",1,"Washington State Univ, Dept Biol Syst Engn, Richland, WA 99354 USA.",NA,NA,NA,NA,8,"Catalytic co-pyrolysis of lignocellulosic biomass with polymers: a
critical review","GREEN CHEMISTRY","WOS:000381328300002","J","ROYAL SOC CHEMISTRY","2016","washington state univ","usa","wa","99354","richland","dept biol syst engn"
"47",47,47,NA,NA,NA,NA,0,"Tao, L","Tao, Ling",2,"Natl Renewable Energy Lab, Golden, CO 80401 USA.",NA,"L-3679-2013","0000-0003-1063-1984",NA,9,"Bio-jet fuel conversion technologies","RENEWABLE & SUSTAINABLE ENERGY REVIEWS","WOS:000367758100056","J","PERGAMON-ELSEVIER SCIENCE LTD","2016","natl renewable energy lab","usa","co","80401","golden",NA
"48",48,48,NA,NA,NA,NA,0,"Wang, WC","Wang, Wei-Cheng",1,"Natl Cheng Kung Univ, Dept Aeronaut & Astronaut, Tainan 70101, Taiwan.",NA,NA,"0000-0002-7277-3702",NA,9,"Bio-jet fuel conversion technologies","RENEWABLE & SUSTAINABLE ENERGY REVIEWS","WOS:000367758100056","J","PERGAMON-ELSEVIER SCIENCE LTD","2016","natl cheng kung univ","taiwan",NA," 70101","tainan","dept aeronaut & astronaut"
"49",49,49,NA,NA,NA,NA,0,"Ge, XM","Ge, Xumeng",2,"Ohio State Univ, Ohio Agr Res & Dev Ctr, Dept Food Agr & Biol Engn, Wooster, OH 44691 USA.",NA,NA,NA,NA,10,"Progress and perspectives in converting biogas to transportation fuels","RENEWABLE & SUSTAINABLE ENERGY REVIEWS","WOS:000345473600089","J","PERGAMON-ELSEVIER SCIENCE LTD","2014","ohio state univ","usa","oh","44691","wooster","dept food agr & biol engn"
"50",50,2898,"Li, Y. G.",2824,0.176470588235294,5,0,"Li, YB","Li, Yebo",5,"Ohio State Univ, Ohio Agr Res & Dev Ctr, Dept Food Agr & Biol Engn, Wooster, OH 44691 USA.",NA,"B-7889-2012",NA,NA,10,"Progress and perspectives in converting biogas to transportation fuels","RENEWABLE & SUSTAINABLE ENERGY REVIEWS","WOS:000345473600089","J","PERGAMON-ELSEVIER SCIENCE LTD","2014","ohio state univ","usa","oh","44691","wooster","dept food agr & biol engn"
"51",51,51,NA,NA,NA,NA,0,"Wan, CX","Wan, Caixia",3,"Univ Missouri, Dept Bioengn, Columbia, MO 65211 USA.",NA,NA,NA,NA,10,"Progress and perspectives in converting biogas to transportation fuels","RENEWABLE & SUSTAINABLE ENERGY REVIEWS","WOS:000345473600089","J","PERGAMON-ELSEVIER SCIENCE LTD","2014","univ missouri","usa","mo","65211","columbia","dept bioengn"
"52",52,52,NA,NA,NA,NA,0,"Yang, LC","Yang, Liangcheng",1,"Ohio State Univ, Ohio Agr Res & Dev Ctr, Dept Food Agr & Biol Engn, Wooster, OH 44691 USA.",NA,NA,NA,NA,10,"Progress and perspectives in converting biogas to transportation fuels","RENEWABLE & SUSTAINABLE ENERGY REVIEWS","WOS:000345473600089","J","PERGAMON-ELSEVIER SCIENCE LTD","2014","ohio state univ","usa","oh","44691","wooster","dept food agr & biol engn"
"53",53,53,NA,NA,NA,NA,0,"Yu, F","Yu, Fei",4,"Mississippi State Univ, Dept Agr & Biol Engn, Mississippi State, MS 39762 USA.",NA,NA,"0000-0001-5595-6147",NA,10,"Progress and perspectives in converting biogas to transportation fuels","RENEWABLE & SUSTAINABLE ENERGY REVIEWS","WOS:000345473600089","J","PERGAMON-ELSEVIER SCIENCE LTD","2014","mississippi state univ","usa","ms","39762","mississippi state","dept agr & biol engn"
"54",54,54,NA,NA,NA,NA,0,"Bouwman, AF","Bouwman, AF",9,"Could not be extracted",NA,"F-1444-2015","0000-0002-2045-1859",NA,11,"Estimations of global NOx emissions and their uncertainties","ATMOSPHERIC ENVIRONMENT","WOS:A1997WU83500002","J","PERGAMON-ELSEVIER SCIENCE LTD","1997",NA,NA,NA,NA,NA,NA
"55",55,54,NA,NA,NA,NA,0,"Bouwman, AF","Bouwman, AF",9,"Could not be extracted",NA,"B-7053-2012","0000-0002-2045-1859",NA,11,"Estimations of global NOx emissions and their uncertainties","ATMOSPHERIC ENVIRONMENT","WOS:A1997WU83500002","J","PERGAMON-ELSEVIER SCIENCE LTD","1997",NA,NA,NA,NA,NA,NA
"56",56,56,NA,NA,NA,NA,0,"Dentener, FJ","Dentener, FJ",8,"Could not be extracted",NA,NA,NA,NA,11,"Estimations of global NOx emissions and their uncertainties","ATMOSPHERIC ENVIRONMENT","WOS:A1997WU83500002","J","PERGAMON-ELSEVIER SCIENCE LTD","1997",NA,NA,NA,NA,NA,NA
"57",57,57,NA,NA,NA,NA,0,"GallardoKlenner, L","GallardoKlenner, L",6,"Could not be extracted",NA,"V-8977-2019","0000-0001-7605-3721",NA,11,"Estimations of global NOx emissions and their uncertainties","ATMOSPHERIC ENVIRONMENT","WOS:A1997WU83500002","J","PERGAMON-ELSEVIER SCIENCE LTD","1997",NA,NA,NA,NA,NA,NA
"58",58,57,NA,NA,NA,NA,0,"GallardoKlenner, L","GallardoKlenner, L",6,"Could not be extracted",NA,"H-4370-2013","0000-0001-7605-3721",NA,11,"Estimations of global NOx emissions and their uncertainties","ATMOSPHERIC ENVIRONMENT","WOS:A1997WU83500002","J","PERGAMON-ELSEVIER SCIENCE LTD","1997",NA,NA,NA,NA,NA,NA
"59",59,59,NA,NA,NA,NA,0,"Grobler, E","Grobler, E",3,"Could not be extracted",NA,NA,NA,NA,11,"Estimations of global NOx emissions and their uncertainties","ATMOSPHERIC ENVIRONMENT","WOS:A1997WU83500002","J","PERGAMON-ELSEVIER SCIENCE LTD","1997",NA,NA,NA,NA,NA,NA
"60",60,60,NA,NA,NA,NA,0,"Kohler I","Kohler, I",2,"Could not be extracted",NA,NA,NA,NA,11,"Estimations of global NOx emissions and their uncertainties","ATMOSPHERIC ENVIRONMENT","WOS:A1997WU83500002","J","PERGAMON-ELSEVIER SCIENCE LTD","1997",NA,NA,NA,NA,NA,NA
"61",61,35,NA,NA,NA,NA,0,"Lee, DS","Lee, DS",1,"DEUTSCH FORSCH ANSTALT LUFT & RAUMFAHRT EV, INST PHYS ATMOSPHARE, D-82234 WESSELING, GERMANY.",NA,"ABC-4683-2021","0000-0002-5984-8861",NA,11,"Estimations of global NOx emissions and their uncertainties","ATMOSPHERIC ENVIRONMENT","WOS:A1997WU83500002","J","PERGAMON-ELSEVIER SCIENCE LTD","1997","deutsch forsch anstalt luft & raumfahrt ev","germany",NA,"82234"," wesseling","inst phys atmosphare"
"62",62,62,NA,NA,NA,NA,0,"Olivier, JGJ","Olivier, JGJ",7,"Could not be extracted",NA,NA,NA,NA,11,"Estimations of global NOx emissions and their uncertainties","ATMOSPHERIC ENVIRONMENT","WOS:A1997WU83500002","J","PERGAMON-ELSEVIER SCIENCE LTD","1997",NA,NA,NA,NA,NA,NA
"63",63,63,NA,NA,NA,NA,0,"Rohrer, F","Rohrer, F",4,"Could not be extracted",NA,"I-2052-2012","0000-0003-3436-3419",NA,11,"Estimations of global NOx emissions and their uncertainties","ATMOSPHERIC ENVIRONMENT","WOS:A1997WU83500002","J","PERGAMON-ELSEVIER SCIENCE LTD","1997",NA,NA,NA,NA,NA,NA
"64",64,64,NA,NA,NA,NA,0,"Sausen, R","Sausen, R",5,"Could not be extracted",NA,NA,NA,NA,11,"Estimations of global NOx emissions and their uncertainties","ATMOSPHERIC ENVIRONMENT","WOS:A1997WU83500002","J","PERGAMON-ELSEVIER SCIENCE LTD","1997",NA,NA,NA,NA,NA,NA
